full_name,age,speciality,desired_course,years_of_experience,graduation_year,city,district
Алексей Витальевич Петров,42,HR-специалист,управление персоналом,20,2006,Нижний Новгород,Советский
Егор Николаевич Петров,37,инженер-конструктор,проектирование в CAD,15,2015,Казань,Центральный
Александра Николаевна Смирнова,34,воспитатель,цифровые инструменты педагога,12,2018,Екатеринбург,Нижний Уральский
Алексей Владимирович Тихонов,39,медсестра,медицинская реабилитация,17,2015,Новосибирск,Кузнецкий
Алексей Сергеев,39,юрист,управление персоналом,17,2015,Москва,Центральный
Алексей Сергеевич Иванов,38,учитель начальных классов,цифровые инструменты педагога,16,2010,Ростов-на-Дону,Центральный
Александр Игоревич Петров,47,социальный работник,основы Data Science для гуманитариев,25,2008,Нижний Новгород,Тупиковский
Алексей Николаевич Петров,34,учитель начальных классов,цифровые инструменты педагога,12,2015,Санкт-Петербург,Крестовский район
Елена Владимировна Петрова,42,медсестра,медицинская реабилитация,20,2008,Нижний Новгород,Центральный
Александр Сергеевич Петров,42,HR-специалист,управление персоналом,20,2006,Екатеринбург,Центральный
Александр Сергеевич Иванов,47,юрист,управление персоналом,25,2009,Самара,Центральный
Алексей Сергеевич Петров,34,бухгалтер,налогообложение и отчётность,12,2015,Казань,Центральный
Екатерина Алексеевна Тихонова,42,бухгалтер,налогообложение и отчётность,18,2015,Новосибирск,Тёплый Сад
Алексей Сергеевич Петров,39,бухгалтер,налогообложение и отчётность,17,2014,Москва,Тверской
Алексей Владимирович Соколов,43,бухгалтер,налогообложение и отчётность,21,2015,Краснодар,Тракторный
Алексей Петрович Игорев,39,медсестра,медицинская реабилитация,17,2012,Краснодар,Театральный
Алексей Сергеевич Новиков,45,воспитатель,цифровые инструменты педагога,23,2005,Новосибирск,Калужский район
Алексей Сергеевич Новиков,42,логист,управление персоналом,20,2012,Казань,Молодёжный
Алексей Сергеевич Ковалёв,47,социальный работник,основы Data Science для гуманитариев,25,2012,Краснодар,Театральный
Николай Великий Петров,42,учитель начальных классов,цифровые инструменты педагога,20,2006,Москва,Центральный
Алексей Сергеевич Петров,39,HR-специалист,управление персоналом,17,2014,Воронеж,Центральный
Александр Сергеевич Иванов,39,учитель начальных классов,цифровые инструменты педагога,17,2010,Екатеринбург,Северный район
Алексей Сергеевич Петров,39,логист,управление персоналом,17,2015,Самара,Курчатовский
Евгений Алексеевич Петров,46,бухгалтер,налогообложение и отчётность,12,2005,Ростов-на-Дону,Площадь Ленина
Алексей Петрович Иванов,42,инженер-конструктор,проектирование в CAD,20,2010,Воронеж,Нижний Округ
Алексей Сергеевич Петров,42,бухгалтер,налогообложение и отчётность,20,2006,Самара,Ташкентский
Александр Сергеевич Петров,42,воспитатель,цифровые инструменты педагога,18,2015,Нижний Новгород,Советский
Елена Владимировна Кузнецова,34,медсестра,медицинская реабилитация,12,2018,Казань,Нижний Тупик
Алексей Вячеславович Петров,42,юрист,управление персоналом,20,2008,Казань,Московский
Алексей Сергеевич Кузнецов,39,логист,управление персоналом,17,2011,Воронеж,Центральный
Алексей Сергеевич Иванов,38,воспитатель,цифровые инструменты педагога,10,2010,Ростов-на-Дону,Московский
Александр Сергеевич Петров,38,учитель начальных классов,цифровые инструменты педагога,16,2010,Краснодар,Центральный
Алексей Владимирович Петров,39,инженер-конструктор,проектирование в CAD,17,2012,Самара,Южный
Егор Алексеевич Кузнецов,42,социальный работник,деловое общение и переговоры,20,2014,Воронеж,Центральный
Александр Сергеевич Петров,38,юрист,управление персоналом,15,2010,Новосибирск,Калужский район
Александр Сергеевич Петров,42,юрист,управление персоналом,20,2006,Ростов-на-Дону,Центральный
Елена Сергеевна Петрова,45,медсестра,медицинская реабилитация,20,2008,Ростов-на-Дону,Тихорецкий
Дарья Сергеевна Петрова,42,медсестра,медицинская реабилитация,20,2006,Москва,Тверская
Александр Сергеевич Петров,42,учитель начальных классов,цифровые инструменты педагога,20,2015,Нижний Новгород,Тупиковский
Елена Алексеевна Сидорова,42,воспитатель,цифровые инструменты педагога,20,2015,Краснодар,Уральский
Александр Сергеевич Кузнецов,42,инженер-конструктор,проектирование в CAD,20,2010,Санкт-Петербург,Петроградский
Александр Игоревич Петров,42,HR-специалист,управление персоналом,20,2010,Самара,Горьковский
Алексей Сергеевич Петров,39,логист,управление персоналом,17,2012,Санкт-Петербург,Невский проспект
Елена Игоревна Кузнецова,45,социальный работник,основы Data Science для гуманитариев,20,2008,Санкт-Петербург,Центральный
Алексей Петрович Соколов,39,инженер-конструктор,проектирование в CAD,17,2010,Новосибирск,Калужский
Алексей Сергеевич Петров,42,логист,основы Data Science для гуманитариев,20,2015,Екатеринбург,Тупик-2
Алексей Петрович Иванов,42,социальный работник,основы Data Science для гуманитариев,20,2015,Екатеринбург,Новый район
Алексей Сергеевич Иванов,42,воспитатель,цифровые инструменты педагога,20,2015,Москва,Тверской
Александр Игоревич Кузнецов,41,HR-специалист,управление персоналом,19,2009,Санкт-Петербург,Невский район
Алексей Петрович Сидоров,42,юрист,управление персоналом,20,2008,Воронеж,Центральный
